title,description,category,location,address,latitude,longitude,start_date,end_date,poster_image,website_url
컬리푸드페스타 2025,"오감으로 즐기는 컬리만의 미식 취향,
단순한 음식을 넘어 진심이 담긴 미식의 공간에서
겨울을 더욱 풍요롭고 따뜻하게 채워보세요.

이연복, 정지선, 김호윤, 안유성 등 유명 셰프들과 함께하는
✨Kurly’s CHEF TABLE 쿠킹쇼✨까지!
오감을 사로잡는 특별한 만찬이 여러분을 기다립니다.

➕ 작년 컬리푸드페스타 행사 후기를 통해
따뜻함이 가득했던 연말을 바로 확인해 보세요.
Merry Kurlysmas!🎄🧤",popup,서울 강서구,서울 강서구 마곡중앙로 111 코엑스 마곡 르웨스트 1층 전시장,37.56380945,126.8254176,2025-12-18,2025-12-21,https://dayforyou.com/resources/uploads/588071324_1305578551609007_8392313048452079630_n.jpg,https://www.instagram.com/p/DRa_JVpDWHk/
싸이코드 X 애니플러스 콜라보 카페,"【 #싸이코드 X 애니플러스 】 콜라보 카페 OPEN!!

🎉미친 놈들의 화음이 울려퍼진다!

[🥗1~2주차 한정 메뉴 (12/4(목)~12/17(수)]
- 단골즈가 탐내는 비서실장의 치킨 버거 세트
*한정 메뉴 특전으로 ‘유리컵 1종’을 증정합니다!

[💌카페 메뉴 특전]
개인 포토카드 5종 입니다!
*카페 메뉴 특전은 메뉴 주문 시, 5종 중 랜덤으로 1종 증정",popup,서울 마포구,서울 마포구 월드컵로3길 14 애니플러스 서울 합정점,37.55100797,126.911649,2025-12-04,2026-01-04,https://dayforyou.com/resources/uploads/582432216_18050908856672185_7175914896998498031_n.jpg,https://www.instagram.com/p/DRBMWHdkiBe/?img_index=1
주토피아2 팝업 IN 수원,"메가박스에 #주토피아2 가 분다🐰🦊
한정판 굿즈부터 오픈 이벤트까지! 제대로 즐기는 <주토피아 2> 팝업",popup,경기 수원시,경기 수원시 팔달구 덕영대로 924 AK플라자 5층 메가박스,37.26559208,127.0001799,2025-11-20,2025-12-21,https://dayforyou.com/resources/uploads/579552416_1149999703925743_5181663105017082054_n.jpg,https://www.instagram.com/p/DQ81pbfD7Tw/?img_index=1
케이팝 데몬 헌터스 팝업 IN 성수,"전 세계를 뒤흔든 넷플릭스 케이팝 데몬 헌터스 💙
드디어 한국에 팝업이 열립니다!

헌트릭스와 사자보이즈 팬이라면 놓칠 수 없는 기회 ✨
성수에서 만나보세요!",popup,서울 성동구,서울 성동구 연무장19길 7,37.54109644,127.0623849,2025-12-04,2025-12-28,https://pbs.twimg.com/media/G4eTgb8aMAAdkaU?format=jpg&name=large,https://x.com/KPDH_popup/status/1983716367007375713
천사 vs 악마 가나디 팝업,"천사와 악마, 두 가지의 매력을 가진 가나디가 찾아왔어요!
서로 다른 두 매력이 공존하는 공간,
당신의 마음을 사로잡을 가나디는 누구인가요?",popup,서울 성동구,서울 성동구 성수이로 77 라인프렌즈 스퀘어 성수점,37.54199415,127.0559955,2025-12-03,2025-12-29,https://dayforyou.com/resources/uploads/583431624_18022908923783935_379177591572401938_n.jpg,https://www.instagram.com/p/DRLiWQBktFI/?img_index=1
꿈빛파티시엘 팝업,"🍰#꿈빛파티시엘 SP 프로페셔널 POP-UP STORE
🍓일정&장소 공개🍓

Bonjour! 11월 27일, AK PLAZA 홍대에 딸기팀이 다시 찾아옵니다💗
LIMITION에서 또 만나요🍫",popup,서울 마포구,서울 마포구 양화로 188 AK 플라자 홍대 4층,37.55774581,126.9264983,2025-11-27,2025-12-28,https://dayforyou.com/resources/uploads/573528340_17939530371094325_826100555314952271_n.heic,https://www.instagram.com/p/DQqD__IEyvv/
로딩룸 팝업,"11월 4주 차 무신사 엠프티에는 어떤 이슈가 있을까요?⁠
⁠
✅ 로딩룸 팝업⁠
⁠
11월의 마지막 주에도 엠프티에서 새로운 브랜드의 컬렉션과 팝업을 만나보세요.📅",popup,서울 성동구,서울 성동구 성수이로 97 무신사 엠프티 성수,37.54364756,127.0565849,2025-11-28,2025-12-04,https://dayforyou.com/resources/uploads/584440098_18059258099642655_1781688952813512704_n.jpg,https://www.instagram.com/p/DRV_4eqDN44/?img_index=3
투에이엔 팝업,"성수에서 펼쳐질, 마법처럼 반짝이는 환상적인 순간 ✧ ˖˚˳⊹
투에이엔의 첫 단독 팝업이 곧 여러분들을 찾아옵니다!

한정 홀리데이 에디션 #드림판타지에디션 부터,
투니들의 많은 사랑을 받고 있는 BEST 아이템까지!

전 제품, 전 컬러 모두
한 공간에서 직접 경험할 수 있는 특별한 시간🎁",popup,서울 성동구,서울 성동구 성수이로7가길 20-1,37.54193399,127.0555499,2025-11-28,2025-12-07,https://dayforyou.com/resources/uploads/581700112_1345889550602028_5186010873733446694_n.jpg,https://www.instagram.com/p/DRJvh2KkYIt/
HOUSE OF SILLARIAN - 실라리안이 사라졌다,"어느 날, 실라리안이 사라졌습니다.
남겨진 건 단서뿐, 이 이야기를 완성할 사람은 당신입니다.

1F - 실라리안씨의 집 🚪
실라리안씨의 집 안 숨겨진 25개의 단서 중 7개를 찾아 리워드를 획득하세요.

B1 - 실라리안 팬트리 🍽️
실라리안의 제품 중 3가지를 골라 [실라리안 세트]를 완성하세요.

B1 - 설문과 전시 🖥️
실라리안에 대한 의견을 자유롭게 작성하고 추가 리워드를 받아가세요.",popup,서울 성동구,서울 성동구 서울숲길 53 1층,37.5481883,127.0434754,2025-11-28,2025-12-04,https://dayforyou.com/resources/uploads/581873003_18144386608434710_5446241947743229628_n.jpg,https://www.instagram.com/p/DRJxGgkAXDS/
